id,yr,monthnum,monthname,monthend,cregion,cdistrict,pregion,pdistrict,creason,tpeople,yrmonthnam,yrmonthnum,pvalue,adjustments,changedvalue,comments
136,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Mudug,Gaalkacyo,Drought related,8,Jan '16,2016-01,,,,
137,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Mudug,Gaalkacyo,Drought related,4,Jan '16,2016-01,,,,
138,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Mudug,Gaalkacyo,Drought related,8,Jan '16,2016-01,,,,
139,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Mudug,Gaalkacyo,Drought related,4,Jan '16,2016-01,,,,
140,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Mudug,Gaalkacyo,Drought related,9,Jan '16,2016-01,,,,
141,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Mudug,Gaalkacyo,Drought related,5,Jan '16,2016-01,,,,
142,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Mudug,Gaalkacyo,Other,213,Jan '16,2016-01,,,,
143,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Mudug,Gaalkacyo,Other,142,Jan '16,2016-01,,,,
144,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Mudug,Gaalkacyo,Other,102,Jan '16,2016-01,,,,
145,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Mudug,Hobyo,Conflict/Insecurity,114,Jan '16,2016-01,,,,
146,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Mudug,Hobyo,Drought related,6,Jan '16,2016-01,,,,
147,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Mudug,Hobyo,Drought related,216,Jan '16,2016-01,,,,
148,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Mudug,Hobyo,Drought related,6,Jan '16,2016-01,,,,
149,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Mudug,Hobyo,Drought related,6,Jan '16,2016-01,,,,
150,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Mudug,Hobyo,Drought related,187,Jan '16,2016-01,,,,
151,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Mudug,Hobyo,Drought related,234,Jan '16,2016-01,,,,
